
In [3]: s.strip_dirs().sort_stats("time").print_stats()                                                                                                                                                     
Wed Dec 26 21:55:21 2018    Profile.prof

         181559334 function calls (177492916 primitive calls) in 5626.720 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       89 1804.680   20.277 1804.680   20.277 {built-in method scipy.signal.sigtools._medfilt2d}
      268 1037.329    3.871 1037.329    3.871 {built-in method scipy.ndimage._nd_image.geometric_transform}
     1072    0.033    0.000    0.079    0.000 metadata.py:19(__init__)
    15367    0.033    0.000    0.068    0.000 {built-in method builtins.any}
    39920    0.032    0.000    0.032    0.000 {built-in method builtins.iter}
     9424    0.032    0.000    0.853    0.000 header.py:1681(_relativeinsert)
     1016    0.032    0.000  180.065    0.177 dto.py:40(get_fits_hdu)
    54550    0.032    0.000    0.032    0.000 {method 'replace' of 'str' objects}
     7619    0.031    0.000    0.031    0.000 {built-in method numpy.core.multiarray.zeros}
9312/8564    0.031    0.000    8.170    0.001 hdulist.py:1057(_read_next_hdu)
    22512    0.031    0.000    0.031    0.000 representation.py:235(components)
    41004    0.031    0.000    0.639    0.000 _strptime.py:568(_strptime_time)
    41004    0.030    0.000    0.030    0.000 {method 'rindex' of 'str' objects}
    24388    0.030    0.000    0.089    0.000 formats.py:134(scale)
     2680    0.030    0.000    0.807    0.000 sky_coordinate.py:2076(_get_representation_attrs)
    24388    0.030    0.000    0.059    0.000 formats.py:193(_check_scale)
     6252    0.030    0.000    0.123    0.000 core.py:1303(physical_type)
    24609    0.030    0.000    0.125    0.000 re.py:185(sub)
    14272    0.030    0.000    0.099    0.000 header.py:1953(__getitem__)
    75667    0.029    0.000    0.029    0.000 {method 'copy' of 'dict' objects}
   102735    0.029    0.000    0.029    0.000 quantity.py:905(unit)
    39660    0.029    0.000    0.121    0.000 generic.py:477(_do_parse)
    33858    0.029    0.000    0.040    0.000 copy.py:252(_keep_alive)
     2144    0.029    0.000    0.409    0.000 baseframe.py:964(represent_as)
    21022    0.028    0.000    0.075    0.000 {method 'sort' of 'list' objects}
     3752    0.028    0.000    0.029    0.000 stride_tricks.py:179(_broadcast_shape)
     2680    0.028    0.000    1.168    0.000 sky_coordinate.py:1726(_get_frame)
    15544    0.028    0.000    0.072    0.000 core.py:240(__new__)
     4824    0.028    0.000    0.261    0.000 quantity.py:1039(__mul__)
     5940    0.028    0.000    2.111    0.000 hdulist.py:239(__iter__)
